id,group,label,form_path,data_type,meaning,prerequisite_and_requirement,validation,initial_or_default,stored_as,synthetic_example,evidence,source
MD-F018,Equipment,Keypad comment,ast.astData.meter.keypad.comment,enum string or canonical free text,Explanation when the associated value could not be captured,Accessed electricity discovery with prepaid subtype; optional if value blank,Select approved reason; Other needs explanatory text. Certain reasons require evidence; see matrix. Bare Other rejected by server,Blank,Same path; Other helper becomes the actual explanation,Keypad Integrated With Meter,Conditional: keypadPhoto,MD-S01; MD-S41
MD-F019,Equipment,Keypad Other reason,ast.astData.meter.keypad.commentOther,"string, form helper",Specific reason not covered by list,Accessed electricity discovery with prepaid subtype; required when corresponding value blank and comment = Other,Trimmed nonempty text,Blank,Folded into ast.astData.meter.keypad.comment; helper deleted,Identifier plate obscured by an unreadable label,No automatic extra photo for custom reason,MD-S01; MD-S41
MD-F020,Equipment,Circuit breaker size (amps),ast.astData.meter.cb.size,string,"Recorded circuit-breaker rating; numeric-looking text, no numeric range asserted",Accessed electricity discovery; value optional in inspected schema,"A nonempty value requires its tagged photo. Comments are alternatives to a missing value, not substitutes for reading a visible identifier",Blank,Same path; nonempty value clears canonical comment,60,astCbPhoto,MD-S01; MD-S41
MD-F021,Equipment,Circuit breaker comment,ast.astData.meter.cb.comment,enum string or canonical free text,Explanation when the associated value could not be captured,Accessed electricity discovery; optional if value blank,Select approved reason; Other needs explanatory text. Certain reasons require evidence; see matrix. Bare Other rejected by server,Blank,Same path; Other helper becomes the actual explanation,Circuit Breaker Inaccessible,Conditional: astCbPhoto,MD-S01; MD-S41
MD-F022,Equipment,Circuit breaker Other reason,ast.astData.meter.cb.commentOther,"string, form helper",Specific reason not covered by list,Accessed electricity discovery; required when corresponding value blank and comment = Other,Trimmed nonempty text,Blank,Folded into ast.astData.meter.cb.comment; helper deleted,Identifier plate obscured by an unreadable label,No automatic extra photo for custom reason,MD-S01; MD-S41
MD-F023,Readings,Water meter reading,ast.meterReading,string,Opening/current register observation made at discovery,Water conventional; required,Nonempty reading; numeric-oriented UI. Reviewed schema/server validate presence rather than a complete decimal/unit/range contract,Blank,"mreadings[0].reading with readingAt, trnId and source AST_CREATION; removed from ast",12345,meterReadingPhoto,MD-S01; MD-S41
MD-F024,Readings,Water token reading,ast.tokenReading,string,Prepaid water token-reading input shown by this form,Water prepaid; required,"Nonempty reading; numeric-oriented UI. Meaning, unit and distinction from remaining credit need owner clarification",Blank,"treadings[0].tokenReading with readingAt, trnId and source AST_CREATION; removed from ast",125,tokenReadingPhoto,MD-S01; MD-S41
MD-F025,Readings,Remaining credit,ast.astData.meter.remainingCredit,signed decimal string,Prepaid balance displayed by meter,Accessed prepaid electricity or water discovery; value OR reason required,"Pattern ^[+-]?\d+(?:\.\d+)?$; zero and negative values allowed. No commas, exponent notation or unit suffix. Unit is not specified by this contract",Blank,Same path on prepaid; removed on conventional,-12.50,remainingCreditPhoto when value supplied,MD-S13; MD-S41
MD-F026,Readings,Remaining credit reason,ast.astData.meter.remainingCreditComment,string,Why the prepaid balance could not be captured,Accessed prepaid electricity or water discovery; required only if value blank,Approved reason or Other with details. Must be blank when value captured; placeholder zero must not replace an unknown value,Blank,Same path; Other canonicalised to Other: followed by text,Display unreadable,No remaining-credit photo required when no value,MD-S13; MD-S41
MD-F027,Readings,Other remaining credit reason,ast.astData.meter.remainingCreditCommentOther,"string, form helper",Custom explanation for missing balance,Accessed prepaid electricity or water discovery with blank value and reason Other; required,Trimmed nonempty text,Blank,Folded into remainingCreditComment with Other: prefix; helper deleted,Balance screen cannot be reached,None specifically required,MD-S13; MD-S41
MD-F028,Findings,Primary finding / anomaly,ast.anomalies.anomaly,enum string,Principal observation about meter condition,"Accessed discovery, electricity or water; required",Select listed finding. Form and server require nonempty text; do not assume backend comprehensively checks every finding/detail pairing,Blank,Same path; transaction records as-found observation,Meter Faulty,Conditional anomalyPhoto,MD-S01; MD-S04; MD-S10; MD-S41
MD-F029,Findings,Finding detail,ast.anomalies.anomalyDetail,enum string,Specific observation within selected finding,"Accessed discovery, electricity or water; required",Required once finding selected; choose detail associated with it. Water applicability of shared electricity-oriented options remains under review,Blank,Same path,Meter Display Blank,anomalyPhoto for every detail except Operationally Ok,MD-S01; MD-S41
MD-F030,Findings,Other anomalies,ast.anomalies.otherAnomalies,array<string>,Additional observations alongside primary finding,Accessed electricity/water; optional,Approved five values; no duplicates. Not a free-text replacement for the principal finding,[],"Same path, canonical array","[""Keypad Faulty""]",No separate evidence tag mandated; explain/evidence relevant finding,MD-S01; MD-S41
MD-F031,Findings,Off-grid supply,ast.ogs.hasOffGridSupply,enum string,Recorded presence of off-grid supply at site,Accessed electricity discovery; required,UI yes/no. Backend checks nonempty value and requires photo when yes; do not infer a full energy-source inventory or capacity field,no,Same path,yes,ogsPhoto when yes,MD-S01; MD-S41
MD-F032,Response,Normalisation actions,ast.normalisation.actionTaken,array<string>,On-site response and/or requested follow-on job,Accessed electricity discovery; required answer,Nonempty list; no duplicates; None exclusive; at most one job; expected job omitted requires reason. Mobile preselects expected action on finding change,"[none], changed with finding",Same path in newer normalisation contract; incompatible action labels exist in older branch,"[""Replace meter""]",normalisationPhoto for on-site fix; not for job-only choice,MD-S02; MD-S10; MD-S41
MD-F033,Response,Reason for not acting,ast.normalisation.noActionReason,string,Why the expected disconnect/replace job was not selected,Accessed electricity discovery when expected action omitted; required,Choose reason or Other with text. Reason must be empty when expected job selected or finding needs no job. Current server accepts canonical custom explanation,Blank; reset on finding/action changes,Same path; Other replaced with helper text,No meter available to replace,No dedicated reason-photo tag,MD-S02; MD-S10; MD-S41
MD-F034,Response,Other no-action reason,ast.normalisation.noActionReasonOther,"string, form helper",Custom reason for not doing expected work,Accessed electricity discovery with reason Other; required,Trimmed nonempty explanation,Blank,Folded into noActionReason; helper deleted,Replacement model unavailable,None specifically required,MD-S01; MD-S41
MD-F035,Commentary,Field comment,fieldComment.text,string,Additional site explanation or unresolved ambiguity,Every route; optional,Trimmed text; no maximum length established in inspected discovery schema,Blank,Same path,Meter in shared roadside kiosk; serves Unit B,Optional comment media,MD-S01; MD-S08
MD-F036,Evidence,Tagged media,media,array<object>,Pictures/recordings supporting specific fields or commentary,Every route; particular tags conditionally required,Required tags below. Server checks nonempty uri or url; several client checks test tag presence only. Upload/quality is a separate concern,[],Root media; core meter tags projected to asset; comment media retained with transaction,"[{tag: astNoPhoto, uri: local-or-remote-path}]",See complete tag matrix,MD-S01; MD-S41; MD-S42; MD-S48; MD-S50
MD-F037,System,id,id,string,Stable identity of this capture; retain on retry,All new current-client captures; system supplied,id must start TRN_MDIS_; trnType must equal METER_DISCOVERY. Version is emitted as 2; older payload compatibility remains in server,Generated,Same root/nested path,TRN_MDIS_<time>_ELC_<ward>_<erf>,None specifically required,MD-S01; MD-S41
MD-F038,System,accessData.trnType,accessData.trnType,string,Identifies the transaction operation,All new current-client captures; system supplied,id must start TRN_MDIS_; trnType must equal METER_DISCOVERY. Version is emitted as 2; older payload compatibility remains in server,Generated,Same root/nested path,METER_DISCOVERY,None specifically required,MD-S01; MD-S41
MD-F039,System,meterDiscoveryContractVersion,meterDiscoveryContractVersion,number,Selects current discovery contract / remaining-credit validation,All new current-client captures; system supplied,id must start TRN_MDIS_; trnType must equal METER_DISCOVERY. Version is emitted as 2; older payload compatibility remains in server,Generated,Same root/nested path,2,None specifically required,MD-S01; MD-S41
MD-F040,System,ERF document identity,accessData.erfId,string,ERF document identity inherited from premise,Parent premise selected,Required nonempty non-NAv for accessed payload; do not manually edit,Inherited,Same path,SYNTHETIC-ERF,None specifically required,MD-S01; MD-S41
MD-F041,System,Human-facing ERF number,accessData.erfNo,string,Human-facing ERF number inherited from premise,Parent premise selected,Required nonempty non-NAv for accessed payload; do not manually edit,Inherited,Same path,SYNTHETIC-ERF,None specifically required,MD-S01; MD-S41
MD-F042,System,countryPcode,accessData.parents.countryPcode,string,Geographic scope inherited from parent premise,Parent premise selected,Required nonempty non-NAv for accessed payload; verify geography when parent incorrect,Inherited,Same path,<approved countryPcode>,None specifically required,MD-S01; MD-S41
MD-F043,System,provincePcode,accessData.parents.provincePcode,string,Geographic scope inherited from parent premise,Parent premise selected,Required nonempty non-NAv for accessed payload; verify geography when parent incorrect,Inherited,Same path,<approved provincePcode>,None specifically required,MD-S01; MD-S41
MD-F044,System,dmPcode,accessData.parents.dmPcode,string,Geographic scope inherited from parent premise,Parent premise selected,Required nonempty non-NAv for accessed payload; verify geography when parent incorrect,Inherited,Same path,<approved dmPcode>,None specifically required,MD-S01; MD-S41
MD-F045,System,lmPcode,accessData.parents.lmPcode,string,Geographic scope inherited from parent premise,Parent premise selected,Required nonempty non-NAv for accessed payload; verify geography when parent incorrect,Inherited,Same path,<approved lmPcode>,None specifically required,MD-S01; MD-S41
MD-F046,System,wardPcode,accessData.parents.wardPcode,string,Geographic scope inherited from parent premise,Parent premise selected,Required nonempty non-NAv for accessed payload; verify geography when parent incorrect,Inherited,Same path,<approved wardPcode>,None specifically required,MD-S01; MD-S41
MD-F047,System,Premise id,accessData.premise.id,string,Saved parent premise identity,All routes inherit premise context; saved premise gate applies to No Access too,"Accessed payload requires these text fields; callable verifies saved premise exists. Address/type are snapshots, not new editable discovery inputs",Inherited / resolved after premise sync,Same path,<premise id>,None specifically required,MD-S01; MD-S41
MD-F048,System,Premise address,accessData.premise.address,string,Premise address snapshot,All routes inherit premise context; saved premise gate applies to No Access too,"Accessed payload requires these text fields; callable verifies saved premise exists. Address/type are snapshots, not new editable discovery inputs",Inherited / resolved after premise sync,Same path,<premise address>,None specifically required,MD-S01; MD-S41
MD-F049,System,Premise propertyType,accessData.premise.propertyType,string,Premise property-type description,All routes inherit premise context; saved premise gate applies to No Access too,"Accessed payload requires these text fields; callable verifies saved premise exists. Address/type are snapshots, not new editable discovery inputs",Inherited / resolved after premise sync,Same path,<premise propertyType>,None specifically required,MD-S01; MD-S41
MD-F050,System,Service provider id,serviceProvider.id,string,Provider context resolved from worker organisation toward main contractor,User/provider data available,Required nonempty non-NAv on accessed payload. Form resolution is not proof of a complete authorisation policy,Resolved from organisation; fallback may be rejected,Same path,<provider id>,None specifically required,MD-S01; MD-S41
MD-F051,System,Service provider name,serviceProvider.name,string,Provider context resolved from worker organisation toward main contractor,User/provider data available,Required nonempty non-NAv on accessed payload. Form resolution is not proof of a complete authorisation policy,Resolved from organisation; fallback may be rejected,Same path,<provider name>,None specifically required,MD-S01; MD-S41
MD-F052,System,Status id,status.id,string,Municipality identifier for status context,Accessed route,Generated from parent LM; not worker-selectable connection state,Inherited,Same path,<LM id>,None specifically required,MD-S01; MD-S41
MD-F053,System,Status detail,status.detail,string,Municipality name or identifier,Accessed route,Generated from parent LM; not worker-selectable connection state,Inherited,Same path,<LM detail>,None specifically required,MD-S01; MD-S41
MD-F054,System,createdAt,metadata.createdAt,ISO timestamp string,Server-attributed capture audit metadata,Accepted callable with signed-in caller,Server discards submitted metadata and supplies its time and authenticated actor. Related master documents use their own Timestamp schema,"Client provisional, then server supplied",Same path in trns; do not equate local capture time with server receipt time,<server createdAt>,None specifically required,MD-S40
MD-F055,System,createdByUid,metadata.createdByUid,string,Server-attributed capture audit metadata,Accepted callable with signed-in caller,Server discards submitted metadata and supplies its time and authenticated actor. Related master documents use their own Timestamp schema,"Client provisional, then server supplied",Same path in trns; do not equate local capture time with server receipt time,<server createdByUid>,None specifically required,MD-S40
MD-F056,System,createdByUser,metadata.createdByUser,string,Server-attributed capture audit metadata,Accepted callable with signed-in caller,Server discards submitted metadata and supplies its time and authenticated actor. Related master documents use their own Timestamp schema,"Client provisional, then server supplied",Same path in trns; do not equate local capture time with server receipt time,<server createdByUser>,None specifically required,MD-S40
MD-F057,System,updatedAt,metadata.updatedAt,ISO timestamp string,Server-attributed capture audit metadata,Accepted callable with signed-in caller,Server discards submitted metadata and supplies its time and authenticated actor. Related master documents use their own Timestamp schema,"Client provisional, then server supplied",Same path in trns; do not equate local capture time with server receipt time,<server updatedAt>,None specifically required,MD-S40
MD-F058,System,updatedByUid,metadata.updatedByUid,string,Server-attributed capture audit metadata,Accepted callable with signed-in caller,Server discards submitted metadata and supplies its time and authenticated actor. Related master documents use their own Timestamp schema,"Client provisional, then server supplied",Same path in trns; do not equate local capture time with server receipt time,<server updatedByUid>,None specifically required,MD-S40
MD-F059,System,updatedByUser,metadata.updatedByUser,string,Server-attributed capture audit metadata,Accepted callable with signed-in caller,Server discards submitted metadata and supplies its time and authenticated actor. Related master documents use their own Timestamp schema,"Client provisional, then server supplied",Same path in trns; do not equate local capture time with server receipt time,<server updatedByUser>,None specifically required,MD-S40
MD-F060,Batch context,sourceModule,targetedBatchContext.sourceModule,string or null,Carried route/correlation context; expected meter and actual meter must remain separate,Only when valid Sales Targeted Batch context is present,"SourceModule, tbId, rowId, salesDocId and erfId are client-required. Server validates authority, parent/row/Sales/ERF/premise correlations. Normalisation accepts more fields than route serialisation carries; not all optional fields reach payload",Inherited; absent values normalise to null,Normalised payload context; server may replace with authoritative context,SALES_TARGETED_BATCH,None specifically required,MD-S23; MD-S43
MD-F061,Batch context,operationType,targetedBatchContext.operationType,string or null,Carried route/correlation context; expected meter and actual meter must remain separate,Only when valid Sales Targeted Batch context is present,"SourceModule, tbId, rowId, salesDocId and erfId are client-required. Server validates authority, parent/row/Sales/ERF/premise correlations. Normalisation accepts more fields than route serialisation carries; not all optional fields reach payload",Inherited; absent values normalise to null,Normalised payload context; server may replace with authoritative context,METER_DISCOVERY,None specifically required,MD-S23; MD-S43
MD-F062,Batch context,tbId,targetedBatchContext.tbId,string or null,Carried route/correlation context; expected meter and actual meter must remain separate,Only when valid Sales Targeted Batch context is present,"SourceModule, tbId, rowId, salesDocId and erfId are client-required. Server validates authority, parent/row/Sales/ERF/premise correlations. Normalisation accepts more fields than route serialisation carries; not all optional fields reach payload",Inherited; absent values normalise to null,Normalised payload context; server may replace with authoritative context,<batch ID>,None specifically required,MD-S23; MD-S43
MD-F063,Batch context,rowId,targetedBatchContext.rowId,string or null,Carried route/correlation context; expected meter and actual meter must remain separate,Only when valid Sales Targeted Batch context is present,"SourceModule, tbId, rowId, salesDocId and erfId are client-required. Server validates authority, parent/row/Sales/ERF/premise correlations. Normalisation accepts more fields than route serialisation carries; not all optional fields reach payload",Inherited; absent values normalise to null,Normalised payload context; server may replace with authoritative context,<row ID>,None specifically required,MD-S23; MD-S43
MD-F064,Batch context,rowNo,targetedBatchContext.rowNo,positive integer or null,Carried route/correlation context; expected meter and actual meter must remain separate,Only when valid Sales Targeted Batch context is present,"SourceModule, tbId, rowId, salesDocId and erfId are client-required. Server validates authority, parent/row/Sales/ERF/premise correlations. Normalisation accepts more fields than route serialisation carries; not all optional fields reach payload",Inherited; absent values normalise to null,Normalised payload context; server may replace with authoritative context,3,None specifically required,MD-S23; MD-S43
MD-F065,Batch context,salesDocId,targetedBatchContext.salesDocId,string or null,Carried route/correlation context; expected meter and actual meter must remain separate,Only when valid Sales Targeted Batch context is present,"SourceModule, tbId, rowId, salesDocId and erfId are client-required. Server validates authority, parent/row/Sales/ERF/premise correlations. Normalisation accepts more fields than route serialisation carries; not all optional fields reach payload",Inherited; absent values normalise to null,Normalised payload context; server may replace with authoritative context,<Sales document ID>,None specifically required,MD-S23; MD-S43
MD-F066,Batch context,erfId,targetedBatchContext.erfId,string or null,Carried route/correlation context; expected meter and actual meter must remain separate,Only when valid Sales Targeted Batch context is present,"SourceModule, tbId, rowId, salesDocId and erfId are client-required. Server validates authority, parent/row/Sales/ERF/premise correlations. Normalisation accepts more fields than route serialisation carries; not all optional fields reach payload",Inherited; absent values normalise to null,Normalised payload context; server may replace with authoritative context,<ERF ID>,None specifically required,MD-S23; MD-S43
MD-F067,Batch context,premiseId,targetedBatchContext.premiseId,string or null,Carried route/correlation context; expected meter and actual meter must remain separate,Only when valid Sales Targeted Batch context is present,"SourceModule, tbId, rowId, salesDocId and erfId are client-required. Server validates authority, parent/row/Sales/ERF/premise correlations. Normalisation accepts more fields than route serialisation carries; not all optional fields reach payload",Inherited; absent values normalise to null,Normalised payload context; server may replace with authoritative context,<resolved premise ID>,None specifically required,MD-S23; MD-S43
MD-F068,Batch context,targetedMeterNo,targetedBatchContext.targetedMeterNo,string or null,Carried route/correlation context; expected meter and actual meter must remain separate,Only when valid Sales Targeted Batch context is present,"SourceModule, tbId, rowId, salesDocId and erfId are client-required. Server validates authority, parent/row/Sales/ERF/premise correlations. Normalisation accepts more fields than route serialisation carries; not all optional fields reach payload",Inherited; absent values normalise to null,Normalised payload context; server may replace with authoritative context,0012345,None specifically required,MD-S23; MD-S43
MD-F069,Batch context,meterNo,targetedBatchContext.meterNo,string or null,Carried route/correlation context; expected meter and actual meter must remain separate,Only when valid Sales Targeted Batch context is present,"SourceModule, tbId, rowId, salesDocId and erfId are client-required. Server validates authority, parent/row/Sales/ERF/premise correlations. Normalisation accepts more fields than route serialisation carries; not all optional fields reach payload",Inherited; absent values normalise to null,Normalised payload context; server may replace with authoritative context,0012345,None specifically required,MD-S23; MD-S43
MD-F070,Batch context,returnTo,targetedBatchContext.returnTo,string or null,Carried route/correlation context; expected meter and actual meter must remain separate,Only when valid Sales Targeted Batch context is present,"SourceModule, tbId, rowId, salesDocId and erfId are client-required. Server validates authority, parent/row/Sales/ERF/premise correlations. Normalisation accepts more fields than route serialisation carries; not all optional fields reach payload",Inherited; absent values normalise to null,Normalised payload context; server may replace with authoritative context,/(tabs)/admin/operations/my-workorders,None specifically required,MD-S23; MD-S43
MD-F071,Batch context,accountNumber,targetedBatchContext.accountNumber,string or null,Carried route/correlation context; expected meter and actual meter must remain separate,Only when valid Sales Targeted Batch context is present,"SourceModule, tbId, rowId, salesDocId and erfId are client-required. Server validates authority, parent/row/Sales/ERF/premise correlations. Normalisation accepts more fields than route serialisation carries; not all optional fields reach payload",Inherited; absent values normalise to null,Normalised payload context; server may replace with authoritative context,<account context>,None specifically required,MD-S23; MD-S43
MD-F072,Batch context,customerName,targetedBatchContext.customerName,string or null,Carried route/correlation context; expected meter and actual meter must remain separate,Only when valid Sales Targeted Batch context is present,"SourceModule, tbId, rowId, salesDocId and erfId are client-required. Server validates authority, parent/row/Sales/ERF/premise correlations. Normalisation accepts more fields than route serialisation carries; not all optional fields reach payload",Inherited; absent values normalise to null,Normalised payload context; server may replace with authoritative context,<customer context>,None specifically required,MD-S23; MD-S43
MD-F073,Batch context,sourceAddress.addressLine1,targetedBatchContext.sourceAddress.addressLine1,string or null,Carried route/correlation context; expected meter and actual meter must remain separate,Only when valid Sales Targeted Batch context is present,"SourceModule, tbId, rowId, salesDocId and erfId are client-required. Server validates authority, parent/row/Sales/ERF/premise correlations. Normalisation accepts more fields than route serialisation carries; not all optional fields reach payload",Inherited; absent values normalise to null,Normalised payload context; server may replace with authoritative context,<source address>,None specifically required,MD-S23; MD-S43
MD-F074,Batch context,sourceAddress.town,targetedBatchContext.sourceAddress.town,string or null,Carried route/correlation context; expected meter and actual meter must remain separate,Only when valid Sales Targeted Batch context is present,"SourceModule, tbId, rowId, salesDocId and erfId are client-required. Server validates authority, parent/row/Sales/ERF/premise correlations. Normalisation accepts more fields than route serialisation carries; not all optional fields reach payload",Inherited; absent values normalise to null,Normalised payload context; server may replace with authoritative context,<source town>,None specifically required,MD-S23; MD-S43
MD-F075,Batch context,Source module,sourceModule,string,Top-level route discriminator,Targeted Batch context present,Must agree with normalised context source module,Absent on ordinary route,Same root path,SALES_TARGETED_BATCH,None specifically required,MD-S01; MD-S23
