reference,runtime_code,stage,message,data_state,recovery,source
MD-E016,INVALID_METER_SUBTYPE,Payload validation,Meter type must be prepaid or conventional,"At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.","Correct the named field using the field catalogue; if no valid truthful value is possible, retain the capture and escalate the field/contract gap.",MD-S41:667
MD-E017,INVALID_METER_TYPE,Payload validation,Access submissions must use water or electricity meterType,"At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.","Correct the named field using the field catalogue; if no valid truthful value is possible, retain the capture and escalate the field/contract gap.",MD-S41:590
MD-E018,INVALID_NORMALISATION_ACTION,Payload validation,This action is not on the list.,"At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.","Recheck finding, one follow-on job at most, on-site fixes and any required reason. If phone accepts choices the server rejects, check release compatibility.",MD-S41:193
MD-E019,INVALID_NO_ACCESS_METER_TYPE,Payload validation,No-access submissions must use meterType NA,"At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.","Correct the named field using the field catalogue; if no valid truthful value is possible, retain the capture and escalate the field/contract gap.",MD-S41:566
MD-E020,INVALID_OTHER_ANOMALIES,Payload validation,ast.anomalies.otherAnomalies must be an array,"At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.","Correct the named field using the field catalogue; if no valid truthful value is possible, retain the capture and escalate the field/contract gap.",MD-S41:361
MD-E021,INVALID_OTHER_ANOMALY,Payload validation,ast.anomalies.otherAnomalies contains an unsupported value,"At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.","Correct the named field using the field catalogue; if no valid truthful value is possible, retain the capture and escalate the field/contract gap.",MD-S41:371
MD-E022,INVALID_PREMISE_ID,Discovery callable,A valid saved premise id is required before meter discovery can be submitted,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Complete or verify the saved parent premise, then reopen the existing discovery draft; do not attach it to a different premise to force acceptance.",MD-S27:3484; MD-S40:3156
MD-E023,INVALID_REMAINING_CREDIT,Payload validation,Remaining Credit must be a signed decimal value,"At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.","Enter signed decimal balance with its photo, or leave it blank and provide the approved reason. Do not use zero for unknown credit.",MD-S41:466
MD-E024,INVALID_REMAINING_CREDIT_COMMENT,Payload validation,Remaining Credit reason must use an approved option or Other with details,"At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.","Enter signed decimal balance with its photo, or leave it blank and provide the approved reason. Do not use zero for unknown credit.",MD-S41:517
MD-E025,INVALID_TRN_ID,Payload validation,Template: TRN id must start with ${METER_DISCOVERY_TRN_PREFIX},"At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.","Preserve the draft and report transaction/queue ID, exact message, route and build. Retry the same record when the underlying condition is resolved.",MD-S41:544
MD-E026,INVALID_TRN_TYPE,Payload validation,Template: trnType must be ${METER_DISCOVERY_TRN_TYPE},"At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.","Preserve the draft and report transaction/queue ID, exact message, route and build. Retry the same record when the underlying condition is resolved.",MD-S41:551
MD-E027,KEYPAD_PHOTO_REQUIRED,Payload validation,Keypad photo is required,"At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.",Capture or restore the photograph for the named evidence tag; verify its URI and upload. An unrelated photo does not satisfy this requirement.,MD-S41:812
MD-E028,KEYPAD_SERIAL_OR_COMMENT_REQUIRED,Payload validation,Prepaid keypad serial number or comment is required,"At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.","Correct the named field using the field catalogue; if no valid truthful value is possible, retain the capture and escalate the field/contract gap.",MD-S41:810
MD-E029,METER_IN_ANOTHER_TEAMS_BATCH,Batch ownership guard,Refusal identifies the allocated team/provider; exact sentence is assembled from current batch facts.,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,Return to supervisor for allocation/identity review. Do not relabel a finding to bypass the ownership check.,MD-S44:245
MD-E030,METER_PHOTO_REQUIRED,Payload validation,Meter number photo is required,"At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.",Capture or restore the photograph for the named evidence tag; verify its URI and upload. An unrelated photo does not satisfy this requirement.,MD-S41:688
MD-E031,METER_PLACEMENT_REQUIRED,Payload validation,Electricity meter placement is required,"At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.","Correct the named field using the field catalogue; if no valid truthful value is possible, retain the capture and escalate the field/contract gap.",MD-S41:322
MD-E032,METER_READING_PHOTO_REQUIRED,Payload validation,Meter reading photo is required,"At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.",Capture or restore the photograph for the named evidence tag; verify its URI and upload. An unrelated photo does not satisfy this requirement.,MD-S41:724
MD-E033,METER_READING_REQUIRED,Payload validation,Conventional water meter reading is required,"At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.",Recheck the water subtype and required creation reading/token reading plus its photograph; escalate undefined units rather than guessing.,MD-S41:722
MD-E034,MISSING_REQUIRED_FIELD,Payload validation,Template: ${missingField[0]} is required,"At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.","Correct the named field using the field catalogue; if no valid truthful value is possible, retain the capture and escalate the field/contract gap.",MD-S41:628
MD-E035,MISSING_REQUIRED_PARENT,Payload validation,Template: accessData.parents.${missingParent} is required,"At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.","Preserve the draft and report transaction/queue ID, exact message, route and build. Retry the same record when the underlying condition is resolved.",MD-S41:646
MD-E036,MM_AST_REFERENCE_CONFLICT,Master identity / derivation,Meter Master is already linked to a different AST,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Compare actual number, service and LM with the existing asset. Escalate the identity/schema conflict with transaction ID; do not create a new serial or overwrite master data.",MD-S51:281
MD-E037,MM_CANONICAL_FIELD_MISSING,Master identity / derivation,Meter Master is missing required canonical fields,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Compare actual number, service and LM with the existing asset. Escalate the identity/schema conflict with transaction ID; do not create a new serial or overwrite master data.",MD-S51:167
MD-E038,MM_CREATED_METADATA_INVALID,Master identity / derivation,Meter Master creation metadata is invalid,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Compare actual number, service and LM with the existing asset. Escalate the identity/schema conflict with transaction ID; do not create a new serial or overwrite master data.",MD-S51:206
MD-E039,MM_DOCUMENT_ID_NONCANONICAL,Master identity / derivation,Meter Master document ID is empty or noncanonical | Meter Master document ID is not canonical,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Compare actual number, service and LM with the existing asset. Escalate the identity/schema conflict with transaction ID; do not create a new serial or overwrite master data.",MD-S51:142; MD-S51:149
MD-E040,MM_DOCUMENT_SHAPE_UNSAFE,Master identity / derivation,Meter Master document is not an object | Meter Master canonical shape is unsafe,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Compare actual number, service and LM with the existing asset. Escalate the identity/schema conflict with transaction ID; do not create a new serial or overwrite master data.",MD-S51:158; MD-S51:179
MD-E041,MM_GOVERNED_FIELD_TYPE_INVALID,Master identity / derivation,Meter Master contains invalid governed field types | Meter Master update metadata is invalid,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Compare actual number, service and LM with the existing asset. Escalate the identity/schema conflict with transaction ID; do not create a new serial or overwrite master data.",MD-S51:199; MD-S51:214
MD-E042,MM_LM_CONFLICT,Master identity / derivation,Meter Master LM conflicts with the operational workflow,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Compare actual number, service and LM with the existing asset. Escalate the identity/schema conflict with transaction ID; do not create a new serial or overwrite master data.",MD-S51:244
MD-E043,MM_METER_TYPE_CONFLICT,Master identity / derivation,Meter Master meter type conflicts with the operational workflow,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Compare actual number, service and LM with the existing asset. Escalate the identity/schema conflict with transaction ID; do not create a new serial or overwrite master data.",MD-S51:252
MD-E044,MM_NORMALIZED_IDENTITY_CONFLICT,Master identity / derivation,Meter Master normalized identity conflicts with its document ID | Meter Master raw meter number does not resolve to its canonical identity,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Compare actual number, service and LM with the existing asset. Escalate the identity/schema conflict with transaction ID; do not create a new serial or overwrite master data.",MD-S51:222; MD-S51:235
MD-E045,NON_CANONICAL_CB_COMMENT_OTHER,Payload validation,"Circuit Breaker comment must contain the canonical custom explanation, not Other","At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.","Correct the named field using the field catalogue; if no valid truthful value is possible, retain the capture and escalate the field/contract gap.",MD-S41:796
MD-E046,NON_CANONICAL_KEYPAD_COMMENT_OTHER,Payload validation,"Keypad comment must contain the canonical custom explanation, not Other","At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.","Correct the named field using the field catalogue; if no valid truthful value is possible, retain the capture and escalate the field/contract gap.",MD-S41:814
MD-E047,NON_CANONICAL_MANUFACTURER_OTHER,Payload validation,"ast.astData.astManufacturer must contain the canonical custom manufacturer, not Other","At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.","Correct the named field using the field catalogue; if no valid truthful value is possible, retain the capture and escalate the field/contract gap.",MD-S41:601
MD-E048,NON_CANONICAL_NO_ACTION_REASON_OTHER,Payload validation,Type the reason.,"At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.","Recheck finding, one follow-on job at most, on-site fixes and any required reason. If phone accepts choices the server rejects, check release compatibility.",MD-S41:257
MD-E049,NON_CANONICAL_SEAL_COMMENT_OTHER,Payload validation,"Seal comment must contain the canonical custom explanation, not Other","At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.","Correct the named field using the field catalogue; if no valid truthful value is possible, retain the capture and escalate the field/contract gap.",MD-S41:780
MD-E050,NORMALISATION_ACTIONS_REQUIRED,Payload validation,Say what was done about this finding.,"At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.","Recheck finding, one follow-on job at most, on-site fixes and any required reason. If phone accepts choices the server rejects, check release compatibility.",MD-S41:186
MD-E051,NORMALISATION_NONE_NOT_EXCLUSIVE,Payload validation,None cannot be used with another action.,"At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.","Recheck finding, one follow-on job at most, on-site fixes and any required reason. If phone accepts choices the server rejects, check release compatibility.",MD-S41:207
MD-E052,NORMALISATION_ONE_JOB_ONLY,Payload validation,Choose one: disconnect or replace.,"At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.","Recheck finding, one follow-on job at most, on-site fixes and any required reason. If phone accepts choices the server rejects, check release compatibility.",MD-S41:214
MD-E053,NORMALISATION_PHOTO_REQUIRED,Payload validation,Photo proof of Normalisation is required,"At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.",Capture or restore the photograph for the named evidence tag; verify its URI and upload. An unrelated photo does not satisfy this requirement.,MD-S41:836
MD-E054,NORMALISATION_REASON_NOT_EXPECTED,Payload validation,"A reason for not acting belongs to a finding that needs action. | The work was done, so there is no reason for not acting.","At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.","Recheck finding, one follow-on job at most, on-site fixes and any required reason. If phone accepts choices the server rejects, check release compatibility.",MD-S41:227; MD-S41:237
MD-E055,NORMALISATION_REASON_REQUIRED,Payload validation,Say why the meter was not disconnected. / Say why the meter was not replaced.,"At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.","Recheck finding, one follow-on job at most, on-site fixes and any required reason. If phone accepts choices the server rejects, check release compatibility.",MD-S41:244
MD-E056,NO_ACCESS_PHOTO_REQUIRED,Payload validation,No-access photo is required,"At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.",Capture or restore the photograph for the named evidence tag; verify its URI and upload. An unrelated photo does not satisfy this requirement.,MD-S41:580
MD-E057,NO_ACCESS_REASON_REQUIRED,Payload validation,No-access reason is required,"At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.","Correct the named field using the field catalogue; if no valid truthful value is possible, retain the capture and escalate the field/contract gap.",MD-S41:573
MD-E058,OFF_GRID_PHOTO_REQUIRED,Payload validation,Off-Grid Supply photo is required,"At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.",Capture or restore the photograph for the named evidence tag; verify its URI and upload. An unrelated photo does not satisfy this requirement.,MD-S41:826
MD-E059,OFF_GRID_STATUS_REQUIRED,Payload validation,Off-grid supply status is required,"At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.","Correct the named field using the field catalogue; if no valid truthful value is possible, retain the capture and escalate the field/contract gap.",MD-S41:753
MD-E060,PREMISE_NOT_FOUND,Discovery callable,Parent premise does not exist in premises collection,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Complete or verify the saved parent premise, then reopen the existing discovery draft; do not attach it to a different premise to force acceptance.",MD-S27:3499; MD-S40:3171
MD-E061,PREMISE_NOT_READY,Local queue / connectivity,Parent premise is not ready yet. This draft will retry later.,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Complete or verify the saved parent premise, then reopen the existing discovery draft; do not attach it to a different premise to force acceptance.",MD-S17:339
MD-E062,QUEUE_BUSY,Local queue / connectivity,Queue processing already in progress,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Preserve the draft and report transaction/queue ID, exact message, route and build. Retry the same record when the underlying condition is resolved.",MD-S17:50
MD-E063,REMAINING_CREDIT_COMMENT_NOT_ALLOWED,Payload validation,Remaining Credit reason must be blank when a value is captured,"At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.","Enter signed decimal balance with its photo, or leave it blank and provide the approved reason. Do not use zero for unknown credit.",MD-S41:473
MD-E064,REMAINING_CREDIT_COMMENT_OTHER_REQUIRED,Payload validation,Specify the other Remaining Credit reason,"At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.","Enter signed decimal balance with its photo, or leave it blank and provide the approved reason. Do not use zero for unknown credit.",MD-S41:501
MD-E065,REMAINING_CREDIT_COMMENT_REQUIRED,Payload validation,Remaining Credit reason is required when no value is captured,"At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.","Enter signed decimal balance with its photo, or leave it blank and provide the approved reason. Do not use zero for unknown credit.",MD-S41:490
MD-E066,REMAINING_CREDIT_PHOTO_REQUIRED,Payload validation,Remaining Credit photo is required when a value is captured,"At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.",Capture or restore the photograph for the named evidence tag; verify its URI and upload. An unrelated photo does not satisfy this requirement.,MD-S41:480
MD-E067,SALES_TB_REFS_INVALID,Batch preparation / submission / derivation,The Sales document has an invalid tbRefs field.,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Reopen the assigned row, confirm team/workbase/ERF/premise and current row state; supervisor resolves correlation conflicts. Preserve the original transaction identity.",MD-S43:501; MD-S43:1050
MD-E068,SALES_TB_REF_DUPLICATE,Batch preparation / submission / derivation,Template: The Sales document contains duplicate references to ${tbId}.,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Reopen the assigned row, confirm team/workbase/ERF/premise and current row state; supervisor resolves correlation conflicts. Preserve the original transaction identity.",MD-S43:523; MD-S43:1072
MD-E069,SALES_TB_REF_METER_CONFLICT,Batch preparation / submission / derivation,The Sales Targeted Batch reference points to another meter.,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Reopen the assigned row, confirm team/workbase/ERF/premise and current row state; supervisor resolves correlation conflicts. Preserve the original transaction identity.",MD-S43:1420
MD-E070,SALES_TB_REF_NOT_FOUND,Batch preparation / submission / derivation,Template: The Sales document is not linked to ${tbId}.,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Reopen the assigned row, confirm team/workbase/ERF/premise and current row state; supervisor resolves correlation conflicts. Preserve the original transaction identity.",MD-S43:516; MD-S43:1065
MD-E071,SALES_TB_REF_PREMISE_CONFLICT,Batch preparation / submission / derivation,Template: The Sales reference for ${tbId} is linked to another premise. | The Sales Targeted Batch reference points to another premise.,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Reopen the assigned row, confirm team/workbase/ERF/premise and current row state; supervisor resolves correlation conflicts. Preserve the original transaction identity.",MD-S43:558; MD-S43:1409
MD-E072,SALES_TB_REF_ROW_CONFLICT,Batch preparation / submission / derivation,Template: The Sales reference for ${tbId} belongs to another TB Row.,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Reopen the assigned row, confirm team/workbase/ERF/premise and current row state; supervisor resolves correlation conflicts. Preserve the original transaction identity.",MD-S43:540; MD-S43:1083
MD-E073,SALES_TB_REF_TRN_CONFLICT,Batch preparation / submission / derivation,The Sales Targeted Batch reference points to another TRN.,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Reopen the assigned row, confirm team/workbase/ERF/premise and current row state; supervisor resolves correlation conflicts. Preserve the original transaction identity.",MD-S43:1431
MD-E074,SEAL_NUMBER_OR_COMMENT_REQUIRED,Payload validation,Electricity meter seal number or comment is required,"At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.","Correct the named field using the field catalogue; if no valid truthful value is possible, retain the capture and escalate the field/contract gap.",MD-S41:776
MD-E075,SEAL_PHOTO_REQUIRED,Payload validation,Seal photo is required,"At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.",Capture or restore the photograph for the named evidence tag; verify its URI and upload. An unrelated photo does not satisfy this requirement.,MD-S41:778
MD-E076,TARGETED_BATCH_ACCESS_DENIED,Batch preparation / submission / derivation,Targeted Batch access denied.,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Reopen the assigned row, confirm team/workbase/ERF/premise and current row state; supervisor resolves correlation conflicts. Preserve the original transaction identity.",MD-S43:996
MD-E077,TARGETED_BATCH_ALLOCATION_TARGET_INVALID,Batch preparation / submission / derivation,A TEAM or Service Provider allocation is required.,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Reopen the assigned row, confirm team/workbase/ERF/premise and current row state; supervisor resolves correlation conflicts. Preserve the original transaction identity.",MD-S43:1006
MD-E078,TARGETED_BATCH_COMPLETION_CONFLICT,Batch preparation / submission / derivation,The Targeted Batch row is already completed with different linkage.,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Reopen the assigned row, confirm team/workbase/ERF/premise and current row state; supervisor resolves correlation conflicts. Preserve the original transaction identity.",MD-S43:1639
MD-E079,TARGETED_BATCH_CONTEXT_INCOMPLETE,Batch preparation / submission / derivation,"Template: Targeted Batch premise context is missing: ${missing.join("", "")}.",Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Reopen the assigned row, confirm team/workbase/ERF/premise and current row state; supervisor resolves correlation conflicts. Preserve the original transaction identity.",MD-S43:469
MD-E080,TARGETED_BATCH_CONTEXT_INVALID,Batch preparation / submission / derivation,The Meter Discovery Targeted Batch context is invalid. | The Meter Discovery TRN carries invalid Targeted Batch context.,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Reopen the assigned row, confirm team/workbase/ERF/premise and current row state; supervisor resolves correlation conflicts. Preserve the original transaction identity.",MD-S43:1204; MD-S43:1525
MD-E081,TARGETED_BATCH_ERF_LINK_MISMATCH,Batch preparation / submission / derivation,The Targeted Batch Row points to another ERF. | The premise payload points to another ERF. | The linked premise belongs to another ERF.,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Reopen the assigned row, confirm team/workbase/ERF/premise and current row state; supervisor resolves correlation conflicts. Preserve the original transaction identity.",MD-S43:700; MD-S43:707; MD-S43:1145; MD-S43:1159
MD-E082,TARGETED_BATCH_EXECUTION_COMPLETED,Batch preparation / submission / derivation,Template: ${tbId} has already completed execution. | Template: ${rowId} has already completed execution. | Template: The Sales field work for ${tbId} has already completed.,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Reopen the assigned row, confirm team/workbase/ERF/premise and current row state; supervisor resolves correlation conflicts. Preserve the original transaction identity.",MD-S43:272; MD-S43:318; MD-S43:551
MD-E083,TARGETED_BATCH_EXECUTION_STATE_INVALID,Batch preparation / submission / derivation,"Template: ${tbId} has unsupported execution status ${executionStatus || ""UNKNOWN""}.",Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Reopen the assigned row, confirm team/workbase/ERF/premise and current row state; supervisor resolves correlation conflicts. Preserve the original transaction identity.",MD-S43:279
MD-E084,TARGETED_BATCH_LM_SCOPE_MISMATCH,Batch preparation / submission / derivation,"The Targeted Batch, TB Row, ERF and premise do not share one LM scope.",Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Reopen the assigned row, confirm team/workbase/ERF/premise and current row state; supervisor resolves correlation conflicts. Preserve the original transaction identity.",MD-S43:136
MD-E085,TARGETED_BATCH_METER_DISCOVERY_RESULT_INCOMPLETE,Batch preparation / submission / derivation,"The Meter Discovery result is missing its premise, meter or TRN linkage.",Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Reopen the assigned row, confirm team/workbase/ERF/premise and current row state; supervisor resolves correlation conflicts. Preserve the original transaction identity.",MD-S43:1544
MD-E086,TARGETED_BATCH_NOT_ACCEPTED,Batch preparation / submission / derivation,Template: ${tbId} has not been accepted for field execution.,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Reopen the assigned row, confirm team/workbase/ERF/premise and current row state; supervisor resolves correlation conflicts. Preserve the original transaction identity.",MD-S43:264
MD-E087,TARGETED_BATCH_NOT_ALLOCATED,Batch preparation / submission / derivation,Template: ${tbId} has not been allocated for field execution.,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Reopen the assigned row, confirm team/workbase/ERF/premise and current row state; supervisor resolves correlation conflicts. Preserve the original transaction identity.",MD-S43:256
