content_id,path,kind,content_status,application_status,owner,review_date,publication
AC-013,00-academy-governance/WORKFLOW_COVERAGE.md,governance,approved organisation / open product decisions,not applicable,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-014,01-body-of-knowledge/ireps-academy-body-of-knowledge-v1.md,learning material,draft / planned outline,see workflow coverage; release verification required,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-015,01-body-of-knowledge/platform-and-governance.md,learning material,draft / planned outline,see workflow coverage; release verification required,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-016,02-user-manual/mobile/change-sign-in-email.md,learning material,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-017,02-user-manual/mobile/invite-a-user.md,learning material,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-018,02-user-manual/mobile/iREPS_Mobile_User_Manual.md,learning material,draft / planned outline,see workflow coverage; release verification required,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-019,02-user-manual/mobile/meter-reading-and-billing-handoff.md,learning material,draft / planned outline,see workflow coverage; release verification required,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-020,02-user-manual/mobile/offline-submissions.md,learning material,draft / planned outline,see workflow coverage; release verification required,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-021,02-user-manual/mobile/README.md,learning material,draft / planned outline,see workflow coverage; release verification required,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-022,02-user-manual/mobile/signup.md,learning material,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-023,02-user-manual/README.md,learning material,draft / planned outline,see workflow coverage; release verification required,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-024,02-user-manual/shared/change-password.md,learning material,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-025,02-user-manual/shared/password-reset.md,learning material,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-026,02-user-manual/shared/qa-and-corrections.md,learning material,draft / planned outline,see workflow coverage; release verification required,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-027,02-user-manual/shared/README.md,learning material,draft / planned outline,see workflow coverage; release verification required,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-028,02-user-manual/shared/roles-and-access.md,learning material,draft / planned outline,see workflow coverage; release verification required,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-029,02-user-manual/shared/signin.md,learning material,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-030,02-user-manual/web/gps-sales-map-batch-geofence.md,learning material,draft / planned outline,see workflow coverage; release verification required,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-031,02-user-manual/web/README.md,learning material,draft / planned outline,see workflow coverage; release verification required,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-032,03-in-app-help/README.md,learning material,draft / planned outline,see workflow coverage; release verification required,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-033,04-courses/README.md,learning material,draft / planned outline,see workflow coverage; release verification required,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-034,05-video-scripts/01-meter-inspection.md,release-specific learning asset,draft / preview,proposed 2026-09-27; deployment unverified,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-035,05-video-scripts/02-disconnect-meter.md,release-specific learning asset,draft / preview,proposed 2026-09-27; deployment unverified,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-036,05-video-scripts/03-replace-meter.md,release-specific learning asset,draft / preview,proposed 2026-09-27; deployment unverified,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-037,05-video-scripts/04-meter-discovery-normalisation.md,release-specific learning asset,draft / preview,proposed 2026-09-27; deployment unverified,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-038,05-video-scripts/05-when-it-will-not-send.md,release-specific learning asset,draft / preview,proposed 2026-09-27; deployment unverified,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-039,05-video-scripts/README.md,learning material,draft / planned outline,see workflow coverage; release verification required,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-040,06-audio-scripts/README.md,learning material,draft / planned outline,see workflow coverage; release verification required,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-041,07-media-and-evidence/README.md,learning material,version 0.2 visual review draft,see workflow coverage; release verification required,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-042,08-utility-systems/power-systems/README.md,learning material,draft / planned outline,see workflow coverage; release verification required,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-043,08-utility-systems/README.md,learning material,draft / planned outline,see workflow coverage; release verification required,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-044,08-utility-systems/water-and-sanitation-systems/README.md,learning material,draft / planned outline,see workflow coverage; release verification required,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-045,09-fieldwork/field-guide-2026-09-27.html,release-specific learning asset,draft / preview,proposed 2026-09-27; deployment unverified,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-046,09-fieldwork/field-guide-build.py,release-specific learning asset,draft / preview,proposed 2026-09-27; deployment unverified,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-047,09-fieldwork/field-guide-flows.js,release-specific learning asset,draft / preview,proposed 2026-09-27; deployment unverified,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-048,09-fieldwork/field-guide-template.html,release-specific learning asset,draft / preview,proposed 2026-09-27; deployment unverified,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-049,09-fieldwork/README.md,learning material,draft / planned outline,see workflow coverage; release verification required,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-050,10-assessments/README.md,learning material,draft / planned outline,see workflow coverage; release verification required,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-051,11-troubleshooting/README.md,learning material,draft / planned outline,see workflow coverage; release verification required,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-052,12-quick-reference-cards/README.md,learning material,draft / planned outline,see workflow coverage; release verification required,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-053,13-utility-revenue-and-finance-controls/utility-revenue-and-finance-controls-v1.md,learning material,draft / planned outline,see workflow coverage; release verification required,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-054,14-faq/README.md,learning material,draft / planned outline,see workflow coverage; release verification required,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-055,15-dictionary/iREPS_Master_Dictionary.md,terminology,controlled reference; candidate terms under review,not an availability assertion,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-056,15-dictionary/TERM_RECONCILIATION.md,terminology,controlled reference; candidate terms under review,not an availability assertion,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-057,AGENTS.md,governance,approved organisation / open product decisions,not applicable,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-058,README.md,governance,approved organisation / open product decisions,not applicable,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-059,00-academy-governance/CONTENT_INDEX.md,governance register,approved organisation,not applicable,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-060,00-academy-governance/CONTENT_REGISTER.csv,governance register,approved organisation,not applicable,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-061,00-academy-governance/COMPLETION_REPORT.md,governance report,completed consolidation record,not an availability assertion,iREPS Academy Codex workstream,2026-09-23,not published by this consolidation
AC-062,00-academy-governance/MODULE_CONTENT_STANDARD.md,module governance / source assessment,version 0.1 review draft,source snapshots; deployment and acceptance unverified,iREPS Academy Codex workstream,2026-09-23,not published; release and content review pending
AC-063,00-academy-governance/source-assessments/meter-discover-source-baseline-2026-09-23.md,module governance / source assessment,version 0.1 review draft,source snapshots; deployment and acceptance unverified,iREPS Academy Codex workstream,2026-09-23,not published; release and content review pending
AC-064,01-body-of-knowledge/meter-discover-body-of-knowledge.md,Meter Discovery learning/reference material,version 0.2 visual review draft,source snapshots; deployment and acceptance unverified,iREPS Academy Codex workstream,2026-09-23,not published; release and content review pending
AC-065,01-body-of-knowledge/meter-discover-error-register.csv,Meter Discovery learning/reference material,version 0.1 review draft,source snapshots; deployment and acceptance unverified,iREPS Academy Codex workstream,2026-09-23,not published; release and content review pending
AC-066,01-body-of-knowledge/meter-discover-error-register.md,Meter Discovery learning/reference material,version 0.1 review draft,source snapshots; deployment and acceptance unverified,iREPS Academy Codex workstream,2026-09-23,not published; release and content review pending
AC-067,01-body-of-knowledge/meter-discover-field-catalogue.csv,Meter Discovery learning/reference material,version 0.1 review draft,source snapshots; deployment and acceptance unverified,iREPS Academy Codex workstream,2026-09-23,not published; release and content review pending
AC-068,01-body-of-knowledge/meter-discover-field-catalogue.md,Meter Discovery learning/reference material,version 0.1 review draft,source snapshots; deployment and acceptance unverified,iREPS Academy Codex workstream,2026-09-23,not published; release and content review pending
AC-069,01-body-of-knowledge/meter-discover-rules-and-data.md,Meter Discovery learning/reference material,version 0.1 review draft,source snapshots; deployment and acceptance unverified,iREPS Academy Codex workstream,2026-09-23,not published; release and content review pending
AC-070,02-user-manual/mobile/meter-discover-user-manual.md,Meter Discovery learning/reference material,version 0.2 visual review draft,source snapshots; deployment and acceptance unverified,iREPS Academy Codex workstream,2026-09-23,not published; release and content review pending
AC-071,10-assessments/meter-discover-scenarios.md,Meter Discovery learning/reference material,version 0.1 review draft,source snapshots; deployment and acceptance unverified,iREPS Academy Codex workstream,2026-09-23,not published; release and content review pending
AC-072,00-academy-governance/source-assessments/meter-discover-visual-revision-2026-09-23.md,Meter Discovery revision evidence,version 0.2 visual review draft,documentation only; no deployment claim,iREPS Academy Codex workstream,2026-09-23,not published; review pending
AC-073,07-media-and-evidence/meter-discover-media-register.md,Meter Discovery teaching media,version 0.2 visual review draft,documentation only; no deployment claim,iREPS Academy Codex workstream,2026-09-23,not published; review pending
AC-074,07-media-and-evidence/meter-discover-outside-erf.svg,Meter Discovery teaching media,version 0.2 visual review draft,documentation only; no deployment claim,iREPS Academy Codex workstream,2026-09-23,not published; review pending
AC-075,07-media-and-evidence/meter-discover-placement-boundary-wall.png,Meter Discovery teaching media,version 0.2 visual review draft,documentation only; no deployment claim,iREPS Academy Codex workstream,2026-09-23,not published; review pending
AC-076,07-media-and-evidence/meter-discover-placement-inside-property.png,Meter Discovery teaching media,version 0.2 visual review draft,documentation only; no deployment claim,iREPS Academy Codex workstream,2026-09-23,not published; review pending
AC-077,07-media-and-evidence/meter-discover-placement-kiosk.png,Meter Discovery teaching media,version 0.2 visual review draft,documentation only; no deployment claim,iREPS Academy Codex workstream,2026-09-23,not published; review pending
AC-078,07-media-and-evidence/meter-discover-placement-meter-room.png,Meter Discovery teaching media,version 0.2 visual review draft,documentation only; no deployment claim,iREPS Academy Codex workstream,2026-09-23,not published; review pending
AC-079,07-media-and-evidence/meter-discover-placement-other.png,Meter Discovery teaching media,version 0.2 visual review draft,documentation only; no deployment claim,iREPS Academy Codex workstream,2026-09-23,not published; review pending
AC-080,07-media-and-evidence/meter-discover-placement-pole-bottom.png,Meter Discovery teaching media,version 0.2 visual review draft,documentation only; no deployment claim,iREPS Academy Codex workstream,2026-09-23,not published; review pending
AC-081,07-media-and-evidence/meter-discover-placement-pole-top.png,Meter Discovery teaching media,version 0.2 visual review draft,documentation only; no deployment claim,iREPS Academy Codex workstream,2026-09-23,not published; review pending
AC-082,07-media-and-evidence/meter-discover-placement-wall-indoors.png,Meter Discovery teaching media,version 0.2 visual review draft,documentation only; no deployment claim,iREPS Academy Codex workstream,2026-09-23,not published; review pending
AC-083,00-academy-governance/FORM_MODULE_INVENTORY.csv,source evidence,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-084,00-academy-governance/FORM_SOURCE_CANDIDATES.csv,source evidence,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-085,00-academy-governance/FORMS_INVESTIGATION_2026-09-25.md,governance,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-086,00-academy-governance/FORMS_REPOSITORY_SCOPE.csv,source evidence,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-087,00-academy-governance/FORMS_SOURCE_BASELINE_2026-09-25.csv,source evidence,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-088,00-academy-governance/HANDOVER-2026-09-24-sales-path-and-normal-path.md,governance,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-089,01-body-of-knowledge/bgo-planning-body-of-knowledge.md,learning document,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-090,01-body-of-knowledge/bgo-planning-error-register.csv,source evidence,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-091,01-body-of-knowledge/bgo-planning-error-register.md,learning document,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-092,01-body-of-knowledge/bgo-planning-field-catalogue.csv,source evidence,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-093,01-body-of-knowledge/bgo-planning-field-catalogue.md,learning document,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-094,01-body-of-knowledge/bgo-planning-validation-evidence.csv,source evidence,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-095,01-body-of-knowledge/change-password-body-of-knowledge.md,learning document,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-096,01-body-of-knowledge/change-password-error-register.csv,source evidence,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-097,01-body-of-knowledge/change-password-error-register.md,learning document,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-098,01-body-of-knowledge/change-password-field-catalogue.csv,source evidence,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-099,01-body-of-knowledge/change-password-field-catalogue.md,learning document,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-100,01-body-of-knowledge/change-sign-in-email-body-of-knowledge.md,learning document,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-101,01-body-of-knowledge/change-sign-in-email-error-register.csv,source evidence,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-102,01-body-of-knowledge/change-sign-in-email-error-register.md,learning document,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-103,01-body-of-knowledge/change-sign-in-email-field-catalogue.csv,source evidence,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-104,01-body-of-knowledge/change-sign-in-email-field-catalogue.md,learning document,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-105,01-body-of-knowledge/change-sign-in-email-validation-evidence.csv,source evidence,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-106,01-body-of-knowledge/email-verification-body-of-knowledge.md,learning document,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-107,01-body-of-knowledge/email-verification-error-register.csv,source evidence,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-108,01-body-of-knowledge/email-verification-error-register.md,learning document,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-109,01-body-of-knowledge/email-verification-field-catalogue.md,learning document,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-110,01-body-of-knowledge/forms-library.md,learning document,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-111,01-body-of-knowledge/geofences-body-of-knowledge.md,learning document,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-112,01-body-of-knowledge/geofences-error-register.csv,source evidence,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-113,01-body-of-knowledge/geofences-error-register.md,learning document,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-114,01-body-of-knowledge/geofences-field-catalogue.csv,source evidence,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-115,01-body-of-knowledge/geofences-field-catalogue.md,learning document,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-116,01-body-of-knowledge/geofences-validation-evidence.csv,source evidence,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-117,01-body-of-knowledge/informal-erf-body-of-knowledge.md,learning document,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-118,01-body-of-knowledge/informal-erf-error-register.csv,source evidence,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-119,01-body-of-knowledge/informal-erf-error-register.md,learning document,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-120,01-body-of-knowledge/informal-erf-field-catalogue.csv,source evidence,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-121,01-body-of-knowledge/informal-erf-field-catalogue.md,learning document,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-122,01-body-of-knowledge/instruction-control-body-of-knowledge.md,learning document,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-123,01-body-of-knowledge/instruction-control-error-register.csv,source evidence,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-124,01-body-of-knowledge/instruction-control-error-register.md,learning document,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-125,01-body-of-knowledge/instruction-control-field-catalogue.csv,source evidence,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-126,01-body-of-knowledge/instruction-control-field-catalogue.md,learning document,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-127,01-body-of-knowledge/instruction-control-validation-evidence.csv,source evidence,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-128,01-body-of-knowledge/invited-profile-body-of-knowledge.md,learning document,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-129,01-body-of-knowledge/invited-profile-error-register.csv,source evidence,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-130,01-body-of-knowledge/invited-profile-error-register.md,learning document,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-131,01-body-of-knowledge/invited-profile-field-catalogue.csv,source evidence,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-132,01-body-of-knowledge/invited-profile-field-catalogue.md,learning document,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-133,01-body-of-knowledge/ireps-form-standards.md,learning document,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-134,01-body-of-knowledge/lifecycle-instructions-body-of-knowledge.md,learning document,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-135,01-body-of-knowledge/lifecycle-instructions-error-register.csv,source evidence,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-136,01-body-of-knowledge/lifecycle-instructions-error-register.md,learning document,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-137,01-body-of-knowledge/lifecycle-instructions-field-catalogue.csv,source evidence,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-138,01-body-of-knowledge/lifecycle-instructions-field-catalogue.md,learning document,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-139,01-body-of-knowledge/meter-commissioning-body-of-knowledge.md,learning document,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-140,01-body-of-knowledge/meter-commissioning-error-register.csv,source evidence,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-141,01-body-of-knowledge/meter-commissioning-error-register.md,learning document,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-142,01-body-of-knowledge/meter-commissioning-field-catalogue.csv,source evidence,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-143,01-body-of-knowledge/meter-commissioning-field-catalogue.md,learning document,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-144,01-body-of-knowledge/meter-commissioning-validation-evidence.csv,source evidence,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-145,01-body-of-knowledge/meter-disconnection-body-of-knowledge.md,learning document,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-146,01-body-of-knowledge/meter-disconnection-error-register.csv,source evidence,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-147,01-body-of-knowledge/meter-disconnection-error-register.md,learning document,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-148,01-body-of-knowledge/meter-disconnection-field-catalogue.csv,source evidence,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-149,01-body-of-knowledge/meter-disconnection-field-catalogue.md,learning document,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-150,01-body-of-knowledge/meter-disconnection-validation-evidence.csv,source evidence,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-151,01-body-of-knowledge/meter-discovery-path-update-2026-09-25.md,learning document,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-152,01-body-of-knowledge/meter-disposal-body-of-knowledge.md,learning document,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-153,01-body-of-knowledge/meter-disposal-error-register.md,learning document,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
AC-154,01-body-of-knowledge/meter-disposal-field-catalogue.md,learning document,review draft / source inventory; unresolved details explicit,source observed or proposed; release unverified,iREPS Academy Codex workstream,2026-09-25,not published as accepted training
