module_id,module,family,application_status,content_status,body,manual,field_catalogue,error_register,examples,source_controls,source_messages,open_questions
FRM-010,Premise Registration,Premises,Observed source; release unverified,"draft; source review, not release certification",01-body-of-knowledge/premise-registration-body-of-knowledge.md,02-user-manual/mobile/premise-registration-user-manual.md,01-body-of-knowledge/premise-registration-field-catalogue.md,01-body-of-knowledge/premise-registration-error-register.md,10-assessments/premise-registration-scenarios.md,9,8,"Current source uses a 10-second premise submit timeout, unlike the proposed universal 15-second policy. Some successful queued submissions remove the local queue item. Cross-batch picker labels can understate server locks; ambiguous multi-meter ERF fallback remains open."
FRM-011,Premise Account Data,Premises,Observed source; release unverified,"draft; source review, not release certification",01-body-of-knowledge/premise-account-data-body-of-knowledge.md,02-user-manual/mobile/premise-account-data-user-manual.md,01-body-of-knowledge/premise-account-data-field-catalogue.md,01-body-of-knowledge/premise-account-data-error-register.md,10-assessments/premise-account-data-scenarios.md,19,24,"Blank-to-NAv transformations exist in source. Unknown, not applicable and unavailable need precise interpretation rather than guessed values. A network-unavailable submit can enter a separate account-data queue."
FRM-012,Informal ERF Capture,Premises,Observed source; release unverified,"draft; source review, not release certification",01-body-of-knowledge/informal-erf-body-of-knowledge.md,02-user-manual/mobile/informal-erf-user-manual.md,01-body-of-knowledge/informal-erf-field-catalogue.md,01-body-of-knowledge/informal-erf-error-register.md,10-assessments/informal-erf-scenarios.md,3,27,"Operational geometry must not be described as cadastral proof. Confirm overlap handling, queue recovery and server validation on the intended release."
FRM-013,Meter Installation,Meter registration,Observed source; release unverified,"draft; source review, not release certification",01-body-of-knowledge/meter-installation-body-of-knowledge.md,02-user-manual/mobile/meter-installation-user-manual.md,01-body-of-knowledge/meter-installation-field-catalogue.md,01-body-of-knowledge/meter-installation-error-register.md,10-assessments/meter-installation-scenarios.md,35,58,"Store custody and purchase evidence are lifecycle requirements, not current enforced installation fields. Confirm offline recovery and replacement linking on the target release. Backend and phone branches must be paired."
FRM-014,Meter Commissioning,Meter operations,Observed source; release unverified,"draft; source review, not release certification",01-body-of-knowledge/meter-commissioning-body-of-knowledge.md,02-user-manual/mobile/meter-commissioning-user-manual.md,01-body-of-knowledge/meter-commissioning-field-catalogue.md,01-body-of-knowledge/meter-commissioning-error-register.md,10-assessments/meter-commissioning-scenarios.md,7,41,"Current generic lifecycle helper also contains older commissioning logic, but the dedicated callable is the relevant route. Verify the callable/trigger pair and result refresh in the chosen environment."
FRM-015,Meter Reading,Meter operations,Observed source; release unverified,"draft; source review, not release certification",01-body-of-knowledge/meter-reading-body-of-knowledge.md,02-user-manual/mobile/meter-reading-user-manual.md,01-body-of-knowledge/meter-reading-field-catalogue.md,01-body-of-knowledge/meter-reading-error-register.md,10-assessments/meter-reading-scenarios.md,8,64,"Production readiness remains open by owner direction. Do not teach prepaid token capture as accepted MREAD. Validate exact proximity threshold, units, register multipliers and export acceptance on the relevant release."
FRM-016,Meter Inspection,Meter operations,Observed source; release unverified,"draft; source review, not release certification",01-body-of-knowledge/meter-inspection-body-of-knowledge.md,02-user-manual/mobile/meter-inspection-user-manual.md,01-body-of-knowledge/meter-inspection-field-catalogue.md,01-body-of-knowledge/meter-inspection-error-register.md,10-assessments/meter-inspection-scenarios.md,15,99,"The screen may say a timed-out inspection was NOT sent. A timeout does not prove the server received nothing; this wording is a release-review concern. Current saved-form success is retained with SUCCESS, unlike screens that remove successful queue items. QA corrections and financial effects remain open."
FRM-017,Meter Disconnection,Meter operations,Observed source; release unverified,"draft; source review, not release certification",01-body-of-knowledge/meter-disconnection-body-of-knowledge.md,02-user-manual/mobile/meter-disconnection-user-manual.md,01-body-of-knowledge/meter-disconnection-field-catalogue.md,01-body-of-knowledge/meter-disconnection-error-register.md,10-assessments/meter-disconnection-scenarios.md,5,50,The generic validator accepts water and electricity while its disconnection levels describe circuit-breaker actions. Water-specific teaching and product rules need resolution. Physical work instructions require the utility’s authorised procedure.
FRM-018,Meter Reconnection,Meter operations,Observed source; release unverified,"draft; source review, not release certification",01-body-of-knowledge/meter-reconnection-body-of-knowledge.md,02-user-manual/mobile/meter-reconnection-user-manual.md,01-body-of-knowledge/meter-reconnection-field-catalogue.md,01-body-of-knowledge/meter-reconnection-error-register.md,10-assessments/meter-reconnection-scenarios.md,4,50,"Do not infer debt clearance, safety clearance or authority solely from the form’s existence. Document the utility-approved prerequisite separately when agreed."
FRM-019,Meter Removal,Meter operations,Observed source; release unverified,"draft; source review, not release certification",01-body-of-knowledge/meter-removal-body-of-knowledge.md,02-user-manual/mobile/meter-removal-user-manual.md,01-body-of-knowledge/meter-removal-field-catalogue.md,01-body-of-knowledge/meter-removal-error-register.md,10-assessments/meter-removal-scenarios.md,5,63,Current removal helper retains older answer/notes shapes alongside the updated confirmation UI. Decommissioned is also a legacy state guard. A single retirement/disposal policy and a stores return form are not established.
FRM-020,No Access,Cross-form outcome,Observed source; release unverified,"draft; source review, not release certification",01-body-of-knowledge/no-access-body-of-knowledge.md,02-user-manual/mobile/no-access-user-manual.md,01-body-of-knowledge/no-access-field-catalogue.md,01-body-of-knowledge/no-access-error-register.md,10-assessments/no-access-scenarios.md,2,3,Reason lists and evidence rules must be checked per workflow. Row completion and reallocation after No Access are workflow-specific; a generic automatic revisit policy is not approved.
FRM-021,User Invitations,Administration,Observed source; release unverified,"draft; source review, not release certification",01-body-of-knowledge/user-invitations-body-of-knowledge.md,02-user-manual/mobile/invite-a-user.md,01-body-of-knowledge/user-invitations-field-catalogue.md,01-body-of-knowledge/user-invitations-error-register.md,10-assessments/user-invitations-scenarios.md,9,42,Do not publish fixed-password examples from historical code. Verify the once-displayed password behaviour in the target build; invitations and re-invitations can have partial success.
FRM-022,User Authorisation and Role Management,Administration,Observed source; release unverified,"draft; source review, not release certification",01-body-of-knowledge/user-administration-body-of-knowledge.md,02-user-manual/shared/user-administration-user-manual.md,01-body-of-knowledge/user-administration-field-catalogue.md,01-body-of-knowledge/user-administration-error-register.md,10-assessments/user-administration-scenarios.md,5,27,Capture action-level permissions in a tested matrix. Role labels alone are not authority. Review the current branch against other user-management feature worktrees.
FRM-023,Service Provider Registration and Editing,Administration,Observed source; release unverified,"draft; source review, not release certification",01-body-of-knowledge/service-provider-body-of-knowledge.md,02-user-manual/mobile/service-provider-user-manual.md,01-body-of-knowledge/service-provider-field-catalogue.md,01-body-of-knowledge/service-provider-error-register.md,10-assessments/service-provider-scenarios.md,5,16,"Review hierarchy and status changes with the responsible product workstream. Provider deactivation, existing users and outstanding assignments require explicit transition rules."
FRM-024,Operational Teams,Operations,Observed source; release unverified,"draft; source review, not release certification",01-body-of-knowledge/operational-teams-body-of-knowledge.md,02-user-manual/shared/operational-teams-user-manual.md,01-body-of-knowledge/operational-teams-field-catalogue.md,01-body-of-knowledge/operational-teams-error-register.md,10-assessments/operational-teams-scenarios.md,2,40,"Verify eligibility, deletion guards and assignment effects in the target release. The form inventory records both mobile and web implementations."
FRM-025,Geofence Planning,Operations,Observed source; release unverified,"draft; source review, not release certification",01-body-of-knowledge/geofences-body-of-knowledge.md,02-user-manual/shared/geofences-user-manual.md,01-body-of-knowledge/geofences-field-catalogue.md,01-body-of-knowledge/geofences-error-register.md,10-assessments/geofences-scenarios.md,9,18,Geometry validation and role scope are release-specific. Do not interpret a boundary selection as allocation or acceptance of work.
FRM-026,Lifecycle Instruction Creation,Operations,Observed source; release unverified,"draft; source review, not release certification",01-body-of-knowledge/lifecycle-instructions-body-of-knowledge.md,02-user-manual/mobile/lifecycle-instructions-user-manual.md,01-body-of-knowledge/lifecycle-instructions-field-catalogue.md,01-body-of-knowledge/lifecycle-instructions-error-register.md,10-assessments/lifecycle-instructions-scenarios.md,4,26,Role inheritance remains open. Field-origin exceptions have separate checks and do not make office acceptance optional for an office-issued instruction.
FRM-027,Lifecycle Instruction Control,Operations,Observed source; release unverified,"draft; source review, not release certification",01-body-of-knowledge/instruction-control-body-of-knowledge.md,02-user-manual/mobile/instruction-control-user-manual.md,01-body-of-knowledge/instruction-control-field-catalogue.md,01-body-of-knowledge/instruction-control-error-register.md,10-assessments/instruction-control-scenarios.md,1,29,Confirm concurrency and the handling of an offline execution submitted after reassignment. Do not silently discard either party’s evidence.
FRM-028,My Work Orders and Acceptance,Operations,Observed source; release unverified,"draft; source review, not release certification",01-body-of-knowledge/work-order-acceptance-body-of-knowledge.md,02-user-manual/mobile/work-order-acceptance-user-manual.md,01-body-of-knowledge/work-order-acceptance-field-catalogue.md,01-body-of-knowledge/work-order-acceptance-error-register.md,10-assessments/work-order-acceptance-scenarios.md,2,78,A wrong association has backend capabilities but may lack a phone correction interface. Cross-batch Not joined labels may be misleading; server refusal remains authoritative.
FRM-029,Targeted Batch Planning and Allocation,Operations,Observed source; release unverified,"draft; source review, not release certification",01-body-of-knowledge/targeted-batches-body-of-knowledge.md,02-user-manual/web/targeted-batches-user-manual.md,01-body-of-knowledge/targeted-batches-field-catalogue.md,01-body-of-knowledge/targeted-batches-error-register.md,10-assessments/targeted-batches-scenarios.md,36,105,Eight multi-meter capture permutations remain deferred in the source rule’s release plan; ambiguous Test 15 still needs an agreed association rule. Reported DEV fixes are not a published acceptance certificate.
FRM-030,TC Upload and Validation,Operations,Observed source; release unverified,"draft; source review, not release certification",01-body-of-knowledge/tc-upload-body-of-knowledge.md,02-user-manual/web/tc-upload-user-manual.md,01-body-of-knowledge/tc-upload-field-catalogue.md,01-body-of-knowledge/tc-upload-error-register.md,10-assessments/tc-upload-scenarios.md,4,0,"Exact file schema, row validation and delete guards require the corresponding backend/source-data review before publication. This task did not upload files or inspect customer exports."
FRM-031,BGO Planning,Operations,Observed source; release unverified,"draft; source review, not release certification",01-body-of-knowledge/bgo-planning-body-of-knowledge.md,02-user-manual/web/bgo-planning-user-manual.md,01-body-of-knowledge/bgo-planning-field-catalogue.md,01-body-of-knowledge/bgo-planning-error-register.md,10-assessments/bgo-planning-scenarios.md,28,4,This family needs route-by-route release review. Do not treat every historical BGO screen as a current recommended workflow.
FRM-032,Meter Reading Staging and Export,Web operations,Observed source; release unverified,"draft; source review, not release certification",01-body-of-knowledge/reading-staging-body-of-knowledge.md,02-user-manual/web/reading-staging-user-manual.md,01-body-of-knowledge/reading-staging-field-catalogue.md,01-body-of-knowledge/reading-staging-error-register.md,10-assessments/reading-staging-scenarios.md,35,30,Owner states this module needs strengthening before production readiness. Automated billing-system integration and full customer billing remain future work. Do not invent an approval button where the page only filters or downloads.
FRM-033,Report Generation and Delivery,Web operations,Observed source; release unverified,"draft; source review, not release certification",01-body-of-knowledge/report-generation-body-of-knowledge.md,02-user-manual/web/report-generation-user-manual.md,01-body-of-knowledge/report-generation-field-catalogue.md,01-body-of-knowledge/report-generation-error-register.md,10-assessments/report-generation-scenarios.md,4,42,"Verify email delivery implementation/configuration and recipient controls before teaching Send as operational. No report was sent during this documentation work. A backend report-email delivery module exists, including recipient, subject and body validation. Its existence does not verify delivery configuration or successful delivery; the older auth-rule statement that iREPS cannot send email must not be applied as a platform-wide claim."
FRM-034,Settings and Lookup Administration,Administration,Observed source; release unverified,"draft; source review, not release certification",01-body-of-knowledge/settings-and-lookups-body-of-knowledge.md,02-user-manual/mobile/settings-and-lookups-user-manual.md,01-body-of-knowledge/settings-and-lookups-field-catalogue.md,01-body-of-knowledge/settings-and-lookups-error-register.md,10-assessments/settings-and-lookups-scenarios.md,23,53,Map every lookup consumer before changing or retiring options. Common form standards must reference engineering rules rather than create a competing list authority.
FRM-035,Meter Procurement,Planned lifecycle,Planned; no implemented form found,"draft; source review, not release certification",01-body-of-knowledge/meter-procurement-body-of-knowledge.md,02-user-manual/shared/meter-procurement-user-manual.md,01-body-of-knowledge/meter-procurement-field-catalogue.md,01-body-of-knowledge/meter-procurement-error-register.md,10-assessments/meter-procurement-scenarios.md,0,0,"Agree record ownership, roles, approval, financial consequences, serial timing and integration. No production transaction type, runtime error codes or button sequence is claimed."
FRM-036,Store Check-in,Planned lifecycle,Planned; no implemented form found,"draft; source review, not release certification",01-body-of-knowledge/store-receipt-body-of-knowledge.md,02-user-manual/shared/store-receipt-user-manual.md,01-body-of-knowledge/store-receipt-field-catalogue.md,01-body-of-knowledge/store-receipt-error-register.md,10-assessments/store-receipt-scenarios.md,0,0,"Agree record ownership, roles, approval, financial consequences, serial timing and integration. No production transaction type, runtime error codes or button sequence is claimed."
FRM-037,Store Check-out,Planned lifecycle,Planned; no implemented form found,"draft; source review, not release certification",01-body-of-knowledge/store-dispatch-body-of-knowledge.md,02-user-manual/shared/store-dispatch-user-manual.md,01-body-of-knowledge/store-dispatch-field-catalogue.md,01-body-of-knowledge/store-dispatch-error-register.md,10-assessments/store-dispatch-scenarios.md,0,0,"Agree state transitions, permissions, custody/financial audit, duplicate handling and evidence requirements. METER_VENDING is recognised by name but is excluded from the implemented generic lifecycle list; it returns LCT_TYPE_NOT_IMPLEMENTED there."
FRM-038,Return to Store,Planned lifecycle,Planned; no implemented form found,"draft; source review, not release certification",01-body-of-knowledge/store-return-body-of-knowledge.md,02-user-manual/shared/store-return-user-manual.md,01-body-of-knowledge/store-return-field-catalogue.md,01-body-of-knowledge/store-return-error-register.md,10-assessments/store-return-scenarios.md,0,0,"Agree state transitions, permissions, custody/financial audit, duplicate handling and evidence requirements. METER_VENDING is recognised by name but is excluded from the implemented generic lifecycle list; it returns LCT_TYPE_NOT_IMPLEMENTED there."
FRM-039,Meter Retirement and Disposal,Planned lifecycle,Planned; no implemented form found,"draft; source review, not release certification",01-body-of-knowledge/meter-disposal-body-of-knowledge.md,02-user-manual/shared/meter-disposal-user-manual.md,01-body-of-knowledge/meter-disposal-field-catalogue.md,01-body-of-knowledge/meter-disposal-error-register.md,10-assessments/meter-disposal-scenarios.md,0,0,"Agree state transitions, permissions, custody/financial audit, duplicate handling and evidence requirements. METER_VENDING is recognised by name but is excluded from the implemented generic lifecycle list; it returns LCT_TYPE_NOT_IMPLEMENTED there."
FRM-040,Meter Vending,Planned lifecycle,Planned; no implemented form found,"draft; source review, not release certification",01-body-of-knowledge/meter-vending-body-of-knowledge.md,02-user-manual/shared/meter-vending-user-manual.md,01-body-of-knowledge/meter-vending-field-catalogue.md,01-body-of-knowledge/meter-vending-error-register.md,10-assessments/meter-vending-scenarios.md,0,20,"Agree state transitions, permissions, custody/financial audit, duplicate handling and evidence requirements. METER_VENDING is recognised by name but is excluded from the implemented generic lifecycle list; it returns LCT_TYPE_NOT_IMPLEMENTED there."
